ID Pos	Nama Pos	Latitude	Longitude	Jumlah KK	Jumlah Jiwa	ID Jemaat	ID Pendeta
POS-25377	POS PELKES BUKIT SION SABUNG	1,268279	109,3723564	55	220	20-12-SK	PDT-97284701
POS-96495	Agape, Kempas Jaya	-0,531669932	102,7775881	20	57	04-09-GR	PDT-50581483
POS-80533	Pos Pelkes Effata Belilas	-0,509514	102,423728	32	120	04-09-GR	PDT-91784974
POS-30445	Pos Pelkes Pancaran Kasih DK3	-0,72057	102,222031	5	17	04-09-GR	PDT-91784974
POS-49169	Pos Pelkes Sumber Kasih DU	-0,659594	102,25803	18	72	04-09-GR	PDT-91784974
POS-42125	"Pos Pelkes ""Bukit Sinai"" Sanjan Emberas"	0,390051	110,356034	45	129	20-11-SS	PDT-79598449
POS-62666	kembiri	-3,016607495	107,7706708	25	125	02-04-IT	PDT-19375058
POS-31031	Pos Pelkes Maranatha Rantau Pulung	0,5489064	117,2510212	42	125	23-08-PS	PDT-23285681
POS-70716	Bajem Immanuel Pengancing	-1,863816	110,579457	99	296	20-05-IT	PDT-71723244
POS-46102	Pos Pelkes Tigris Batu Pindah	-1,8766508	110,5503544	20	55	20-05-IT	PDT-71723244
POS-63796	Pelita Iman Batang Belian	-2,2854249	110,6884074	56	195	20-02-BM	PDT-32980492
POS-77756						21-03-IB	
POS-68350						21-03-IB	
POS-81850	POS PELKES WAY HANDOP	-5,382347	104,117505	25	71	06-05-MA	PDT-80598199
POS-27137	Anugerah Selimatan Jaya	-2,286359	110,5884909	110	371	20-02-BM	PDT-70698942
POS-59077	Ekklesia Singkup	-2,3378078	110,6421803	42	118	20-02-BM	PDT-73800812
POS-64442	"Bajem ""Maranatha"" Batu Keling"	-2,2436487	110,768532	83	267	20-16-EA	PDT-59135418
POS-94933	"Pos Pelkes ""Arai Hidup"" Perimping"	-2,2895717	110,7774682	43	134	20-16-EA	PDT-59135418
POS-63984	Pos Pelkes ELIM, Dusun Modah			45	225	20-09-OS	PDT-33372790
POS-35232	Pos Pelkes Gembala Baik, Dusun Rantau			31	155	20-09-OS	PDT-33372790
POS-31969	"Pos Pelkes ""Bethesda"" Palaran"	-0,587165186	117,2213548	25	77	23-14-HS	PDT-91331801
POS-99872	Pospelkes Immanuel Batu Ampar	0,118957163	117,4542966	7		23-11-SK	PDT-61105165
POS-13298	Bajem Maranatha Kombeng			46			PDT-61105165
POS-23122	Pniel Seponti Jaya	-0,8637386	109,8338269	38	101	20-04-EK	PDT-50731837
POS-40296	"""Getsemani"" Long Mesangat"	0,577711714	116,7077	161	452	23-03-ET	PDT-75744712
POS-66516	Pu'un Udip	-0,288401	117,1619169	25	84	23-06-IS	PDT-63297445
POS-78010	Haleluya	-0,3521406	117,1044191	24	62	23-06-IS	PDT-63297445
POS-78468	Pos Pelkes Bukit Sion Sungai Melayu Rayak	0,990049272	118,5470387	28	81	20-05-IT	PDT-98564767
POS-62648	Simanduma	2,815919779	98,33554589	16	59	01-06-MP	PDT-43833673
POS-40402	Tanjung Beringin	2,761233392	98,45761681	15	62	01-06-MP	PDT-43833673
POS-26573	Gomit	2,84462265	98,21574972	16	44	01-06-MP	PDT-43833673
POS-65205	Pos Pelkes Tonduhan	2,805178	99,1726879	37	129	01-06-MP	PDT-57348885
POS-88508	Arai Hidup Sepauhan			34	118	20-05-IT	PDT-43759100
POS-38948	Tiberias Mahawa			20	65	20-05-IT	PDT-43759100
POS-58314	Pos Pelkes Nehemia Pulau Kubung	1,019680411	104,1446981	76	167	03-07-IB	PDT-29777050
POS-54069	Pos Pelkes Soli Deo PT. LAP			20	45	20-05-IT	PDT-11639704
POS-54989	Pos Pelkes Talitakum Beringin			23	72	20-05-IT	PDT-11639704
